intersection,direction,lx,ly,tx,ty,rx,ry,ix,iy
TCB1200,sb,152,1357,106,1384,,,,
TCB1200,wb,335,1307,,,335,1344,,
TCB1200,nb,,,247,1124,289,1146,,
TCB1200,intersection,,,,,,,850,1310
TCBTCD,sb,179,450,133,469,,,,
TCBTCD,wb,362,392,,,362,429,,
TCBTCD,nb,,,274,209,316,231,,
TCBTCD,intersection,,,,,,,665,275
UA1200,sb,1662,1412,1621,1448,1580,1412,,
UA1200,wb,1874,1357,1890,1389,1874,1421,,
UA1200,nb,1767,1198,1813,1165,1859,1198,,
UA1200,eb,1566,1256,1548,1220,1566,1183,,
UA1200,intersection,,,,,,,1255,1275
UATCD,sb,1657,332,1616,369,1574,332,,
UATCD,wb,1868,277,1890,309,1868,341,,
UATCD,nb,1762,118,1808,85,1853,118,,
UATCD,eb,1561,176,1542,140,1561,103,,
UATCD,intersection,,,,,,,1255,225
